"","Var1","Freq"
"1","Min.",3448.07325956877
"2","1st Qu.",9842.48172768159
"3","Median",12506.5817020857
"4","Mean",15114.6912443597
"5","3rd Qu.",18133.2568323601
"6","Max.",60959.9515679409
