"","Var1","Freq"
"1","Min.",6845.79935061513
"2","1st Qu.",17572.8447291051
"3","Median",23837.3984372651
"4","Mean",27507.9316819972
"5","3rd Qu.",32925.4474041745
"6","Max.",75970.2044657362
